StudentStatus;NoStudentStatus;NoEducation;Bachelor;Master;AcademicExperience;NoExperience;ComercialExperience;BasicEnglish;AdvancedEnglish;FluentEnglish;Python;R;Java;HTML;Decision
1;0;0;0;1;0;1;0;0;1;0;1;0;0;0;DataAnalyst
1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;DataAnalyst
1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;UIDesigner
1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;DataAnalyst
1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;DataAnalyst
1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;UIDesigner
1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;DataAnalyst
1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;DataAnalyst
1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;UIDesigner
1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;SoftwareDeveloper
1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;DataAnalyst
1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;UIDesigner
1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;DataAnalyst
1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;DataAnalyst
1;0;0;0;1;1;0;0;0;0;1;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;UIDesigner
1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;DataAnalyst
1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;DataAnalyst
1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;UIDesigner
1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;DataAnalyst
1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;DataAnalyst
1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;UIDesigner
1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;DataAnalyst
1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;NoJob
1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;SoftwareDeveloper
1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;UIDesigner
0;1;1;0;0;0;1;0;1;0;0;1;0;0;0;NoJob
0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;DataAnalyst
0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;SoftwareDeveloper
0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;UIDesigner
0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;DataAnalyst
0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;DataAnalyst
0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;UIDesigner
0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;DataAnalyst
0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;DataAnalyst
0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;UIDesigner
0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;DataAnalyst
0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;NoJob
0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;NoJob
0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;NoJob
0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;NoJob
0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;DataAnalyst
0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;UIDesigner
0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;DataAnalyst
0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;DataAnalyst
0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;UIDesigner
0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;NoJob
0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;NoJob
0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;NoJob
0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;NoJob
0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;DataAnalyst
0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;DataAnalyst
0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;UIDesigner
0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;DataAnalyst
0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;DataAnalyst
0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;UIDesigner
0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;DataAnalyst
0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;DataAnalyst
0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;NoJob
0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;NoJob
0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;DataAnalyst
0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;DataAnalyst
0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;UIDesigner
0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;SoftwareDeveloper
0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;DataAnalyst
0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;UIDesigner
0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;DataAnalyst
0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;DataAnalyst
0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;UIDesigner
0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;DataAnalyst
0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;DataAnalyst
0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;UIDesigner
0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;DataAnalyst
0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;DataAnalyst
0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;UIDesigner
0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;SoftwareDeveloper
0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;DataAnalyst
0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;UIDesigner
0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;DataAnalyst
0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;DataAnalyst
0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;0;0;1;0;1;0;0;0;0;1;UIDesigner
0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;DataAnalyst
0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;DataAnalyst
0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;UIDesigner
0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;DataAnalyst
0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;DataAnalyst
0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;SoftwareDeveloper
0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;UIDesigner
0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;DataAnalyst
0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;DataAnalyst
0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;UIDesigner
0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;DataAnalyst
0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;DataAnalyst
0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;UIDesigner
0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;DataAnalyst
0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;DataAnalyst
0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;SoftwareDeveloper
0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;UIDesigner
0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;DataAnalyst
0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;DataAnalyst
0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;SoftwareDeveloper
0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;UIDesigner
0;1;0;0;1;1;0;0;0;0;1;1;0;0;0;DataAnalyst
0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;DataAnalyst
0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;SoftwareDeveloper
0;1;0;0;1;1;0;0;0;0;1;0;0;0;1;UIDesigner
0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;DataAnalyst
0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;DataAnalyst
